Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,
How Cube Helps,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,,,,,,,,,,,,,
Employee Travel and Meals,"$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000",,,,,,,,,,,,,
Equipment Rental,"$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100",,,,,,,,,,,,,
Other Tech Expense,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,,,,,,,,,,,,,
Professional Services,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Accounting Fees,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Legal Fees,"$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500",,,,,,,,,,,,,
Consultant Fees,"$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800",,,,,,,,,,,,,
Other Professional Services,$540,$540,$540,$540,$540,$540,$540,$540,$540,$540,$540,$540,,,,,,,,,,,,,
Marketing ,"$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000",,,,,,,,,,,,,
Public Relations,"$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500",,,,,,,,,,,,,
Total G&A,"$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Salaries,,,,,,,,,,,,,,,,,,,,,,,,,
Total Salaries,"$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500",,,,,,,,,,,,,
Total Benefits,"$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050",,,,,,,,,,,,,
Total Payroll Taxes,"$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700",,,,,,,,,,,,,
Payroll Processing Fees,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Bonuses,"$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000",,,,,,,,,,,,,
Commissions,"$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000",,,,,,,,,,,,,
Total Salaries & Commissions,"$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,"$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EBITA,"$29,828","$34,467","$37,654","$40,871","$44,117","$37,394","$40,700","$44,036","$47,404","$50,802","$54,232","$57,693",,,,,,,,,,,,,
Other Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Other Income,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,,,,,,,,,,,,,
Interest Expense,$430,$430,$430,$430,$430,$430,$430,$430,$430,$430,$430,$430,,,,,,,,,,,,,
Bad Debt Expense,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,,,,,,,,,,,,,
Depreciation Expense,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,,,,,,,,,,,,,
Amortization,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Interest, Depreciation & Amortization","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Net income (Loss) Before Income Taxes,"$27,598","$32,237","$35,424","$38,641","$41,887","$35,164","$38,470","$41,806","$45,174","$48,572","$52,002","$55,463",,,,,,,,,,,,,
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,
Income Taxes,"$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Net income (Loss) ,"$26,098","$30,737","$33,924","$37,141","$40,387","$33,664","$36,970","$40,306","$43,674","$47,072","$50,502","$53,963",,,,,,,,,,,,,
